Repository Owner,Repository Name,Repository Star Count,Repository URL
ccxt,ccxt,29000,https://github.com/ccxt/ccxt
discordjs,discord.js,23900,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,22800,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,17100,https://github.com/wechaty/wechaty
RasaHQ,rasa,17000,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,15700,https://github.com/InstaPy/InstaPy
gunthercox,ChatterBot,13500,https://github.com/gunthercox/ChatterBot
leon-ai,leon,13400,https://github.com/leon-ai/leon
Rapptz,discord.py,13400,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,13100,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,11600,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11200,https://github.com/howdyai/botkit
sfyc23,EverydayWechat,9600,https://github.com/sfyc23/EverydayWechat
Mrs4s,go-cqhttp,9400,https://github.com/Mrs4s/go-cqhttp
lss233,chatgpt-mirai-qq-bot,8900,https://github.com/lss233/chatgpt-mirai-qq-bot
microsoft,ailab,7500,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7400,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,7000,https://github.com/telegraf/telegraf
