Repository Owner,Repository Name,Repository Star Count,Repository URL
bitcoin,bitcoin,71200,https://github.com/bitcoin/bitcoin
ccxt,ccxt,29000,https://github.com/ccxt/ccxt
freqtrade,freqtrade,22800,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,18000,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10600,https://github.com/solana-labs/solana
bbfamily,abu,10400,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7500,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7100,https://github.com/lightningnetwork/lnd
spesmilo,electrum,6600,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6600,https://github.com/yeasy/blockchain_guide
butor,blackbird,5800,https://github.com/butor/blackbird
btcsuite,btcd,5500,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5300,https://github.com/btcpayserver/btcpayserver
bitcoinjs,bitcoinjs-lib,5100,https://github.com/bitcoinjs/bitcoinjs-lib
getumbrel,umbrel,4900,https://github.com/getumbrel/umbrel
anders94,blockchain-demo,4900,https://github.com/anders94/blockchain-demo
jesse-ai,jesse,4800,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4700,https://github.com/bitcoinj/bitcoinj
